date,code,long_balance,short_balance,ratio,unit,status,source_url,fetched_at
2026-07-24,1942,399.5,41.2,9.7,千株,OK,https://kabutan.jp/stock/?code=1942,2026-08-29T10:38:39.607443+09:00
2026-07-31,1942,483.6,53.9,8.97,千株,OK,https://kabutan.jp/stock/?code=1942,2026-08-29T10:38:39.607443+09:00
2026-08-07,1942,502.1,42.7,11.76,千株,OK,https://kabutan.jp/stock/?code=1942,2026-08-29T10:38:39.607443+09:00
2026-08-14,1942,516.5,44.4,11.63,千株,OK,https://kabutan.jp/stock/?code=1942,2026-08-29T10:38:39.607443+09:00
2026-08-21,1942,502.8,41.8,12.03,千株,OK,https://kabutan.jp/stock/?code=1942,2026-08-29T10:38:39.607443+09:00
2026-08-28,1942,483.7,38.9,12.43,千株,OK,https://kabutan.jp/stock/?code=1942,2026-09-05T04:05:59.556416+09:00
2026-09-04,1942,467.0,42.0,11.12,千株,OK,https://kabutan.jp/stock/?code=1942,2026-09-12T04:06:50.818908+09:00
2026-09-11,1942,462.8,39.1,11.84,千株,OK,https://kabutan.jp/stock/?code=1942,2026-09-23T13:09:04.163912+09:00
