date,code,long_balance,short_balance,ratio,unit,status,source_url,fetched_at
2026-07-24,4440,148.3,3.3,44.94,千株,OK,https://kabutan.jp/stock/?code=4440,2026-08-31T01:24:12.822137+09:00
2026-07-31,4440,153.8,3.2,48.06,千株,OK,https://kabutan.jp/stock/?code=4440,2026-08-31T01:24:12.822137+09:00
2026-08-07,4440,151.1,3.2,47.22,千株,OK,https://kabutan.jp/stock/?code=4440,2026-08-31T01:24:12.822137+09:00
2026-08-14,4440,147.3,3.5,42.09,千株,OK,https://kabutan.jp/stock/?code=4440,2026-08-31T01:24:12.822137+09:00
2026-08-21,4440,144.8,3.2,45.25,千株,OK,https://kabutan.jp/stock/?code=4440,2026-08-31T01:24:12.822137+09:00
2026-08-28,4440,227.6,52.1,4.37,千株,OK,https://kabutan.jp/stock/?code=4440,2026-09-05T04:06:24.517502+09:00
