date,code,long_balance,short_balance,ratio,unit,status,source_url,fetched_at
2026-07-24,1959,55.4,17.3,3.2,千株,OK,https://kabutan.jp/stock/?code=1959,2026-08-29T10:38:47.650010+09:00
2026-07-31,1959,79.6,18.7,4.26,千株,OK,https://kabutan.jp/stock/?code=1959,2026-08-29T10:38:47.650010+09:00
2026-08-07,1959,82.9,18.8,4.41,千株,OK,https://kabutan.jp/stock/?code=1959,2026-08-29T10:38:47.650010+09:00
2026-08-14,1959,83.3,20.7,4.02,千株,OK,https://kabutan.jp/stock/?code=1959,2026-08-29T10:38:47.650010+09:00
2026-08-21,1959,90.1,19.5,4.62,千株,OK,https://kabutan.jp/stock/?code=1959,2026-08-29T10:38:47.650010+09:00
