date,code,long_balance,short_balance,ratio,unit,status,source_url,fetched_at
2026-07-24,6027,477.9,359.3,1.33,千株,OK,https://kabutan.jp/stock/?code=6027,2026-08-31T01:24:29.437025+09:00
2026-07-31,6027,441.0,360.5,1.22,千株,OK,https://kabutan.jp/stock/?code=6027,2026-08-31T01:24:29.437025+09:00
2026-08-07,6027,422.7,349.8,1.21,千株,OK,https://kabutan.jp/stock/?code=6027,2026-08-31T01:24:29.437025+09:00
2026-08-14,6027,486.3,406.5,1.2,千株,OK,https://kabutan.jp/stock/?code=6027,2026-08-31T01:24:29.437025+09:00
2026-08-21,6027,503.4,362.3,1.39,千株,OK,https://kabutan.jp/stock/?code=6027,2026-08-31T01:24:29.437025+09:00
2026-08-28,6027,487.4,355.0,1.37,千株,OK,https://kabutan.jp/stock/?code=6027,2026-09-05T04:06:41.369730+09:00
2026-09-04,6027,493.5,347.7,1.42,千株,OK,https://kabutan.jp/stock/?code=6027,2026-09-12T04:07:32.848227+09:00
2026-09-11,6027,489.7,348.5,1.41,千株,OK,https://kabutan.jp/stock/?code=6027,2026-09-23T13:09:45.901169+09:00
2026-09-18,6027,504.0,345.2,1.46,千株,OK,https://kabutan.jp/stock/?code=6027,2026-09-26T04:05:54.427986+09:00
