date,code,long_balance,short_balance,ratio,unit,status,source_url,fetched_at
2026-07-24,1944,144.8,17.5,8.27,千株,OK,https://kabutan.jp/stock/?code=1944,2026-08-29T10:38:43.638456+09:00
2026-07-31,1944,149.2,21.8,6.84,千株,OK,https://kabutan.jp/stock/?code=1944,2026-08-29T10:38:43.638456+09:00
2026-08-07,1944,176.8,20.0,8.84,千株,OK,https://kabutan.jp/stock/?code=1944,2026-08-29T10:38:43.638456+09:00
2026-08-14,1944,214.4,15.5,13.83,千株,OK,https://kabutan.jp/stock/?code=1944,2026-08-29T10:38:43.638456+09:00
2026-08-21,1944,258.0,14.4,17.92,千株,OK,https://kabutan.jp/stock/?code=1944,2026-08-29T10:38:43.638456+09:00
2026-08-28,1944,275.5,16.9,16.3,千株,OK,https://kabutan.jp/stock/?code=1944,2026-09-05T04:06:03.686910+09:00
