date,code,long_balance,short_balance,ratio,unit,status,source_url,fetched_at
2026-07-31,6622,176.8,8.9,19.87,千株,OK,https://kabutan.jp/stock/?code=6622,2026-09-01T16:22:22.801965+09:00
2026-08-07,6622,186.9,3.6,51.92,千株,OK,https://kabutan.jp/stock/?code=6622,2026-09-01T16:22:22.801965+09:00
2026-08-14,6622,190.7,4.0,47.67,千株,OK,https://kabutan.jp/stock/?code=6622,2026-09-01T16:22:22.801965+09:00
2026-08-21,6622,201.3,2.4,83.88,千株,OK,https://kabutan.jp/stock/?code=6622,2026-09-01T16:22:22.801965+09:00
2026-08-28,6622,196.9,3.3,59.67,千株,OK,https://kabutan.jp/stock/?code=6622,2026-09-05T04:06:20.270503+09:00
2026-09-04,6622,208.6,3.5,59.6,千株,OK,https://kabutan.jp/stock/?code=6622,2026-09-12T04:07:11.769994+09:00
2026-09-11,6622,201.8,2.8,72.07,千株,OK,https://kabutan.jp/stock/?code=6622,2026-09-23T13:09:25.049075+09:00
