as_of,code,shape,image_sha256
2026-09-25,1942,調整,6729c2e311d75dbf8f2ab11776f6e472a78eecbc25c90ad7e0d00b6b05799dc5
2026-09-25,1944,調整,5835eb1281c444e2f118c18fd096c6a2ad31baa552bf8409f50886785f850a7c
2026-09-25,1959,下げとまった,6039c6f4a55963d0eba63705f49acab156e62222f8ea9f86dc494c750b19f57c
2026-09-25,1969,調整,c3b4c19df9d4a133979b59eb1cb06e4e6353003521b872daa9a4ce0aa379a78c
2026-09-25,4440,急上昇,8160deefc6f312a48421ccc668578b71c3bca77469091356bfbcf12b7b47a033
2026-09-25,4707,急上昇,3c5a3e9ddf670b755b351fc5742b77341971d63237023890df88b8aa27271850
2026-09-25,5137,リバウンド,dde960fa3b50e50cb8986822020d733fe163db461ac544f549b8cddbcf8f612d
2026-09-25,5243,リバウンド,ea7bab6c6a3186600808d4536538ba0896883b8c722a829f4e66236f074b1236
2026-09-25,6027,急上昇,fde8370bc1ee137a0efa3895764447c86eab2eb1f6b2d484f950fb3adca6796c
2026-09-25,6508,上昇,5840dcf518bab2b0e9533cf6aae2ddc298e12e47fa2af2ad7f35fa59478c6a5c
2026-09-25,6570,急上昇,48d14714bb8a78ce5a78cc0988636751489d9425c0a9033d50bd585541846dc3
2026-09-25,6622,調整,c711c625642e2d63fd8934dd43dfda72df9235274d26a0b3364aadf601ba7939
2026-09-25,6647,急上昇,a066c958b9c8bf6e579c9b9cc901ea58fc50eeab68c82850c83f3e88015471ef
2026-09-25,6904,急上昇,ebc2ab5e8b87e3f0c6b57ac054cf2e16953bcc5975d756b40bcb16aa2769a5af
2026-09-25,7093,リバウンド,75ac26eea50fc6113da55ad141755b5c57a2b88e7cf7fb353cc9d526989f34f2
2026-09-25,9344,急上昇,1ada72e53ba39f18e6ed776e23960cc7b5f3a92d2eed50cf1a120e7823e44513
