period,code,metric,value,unit,tolerance,status,source_primary,value_primary,raw_primary,source_secondary,value_secondary,raw_secondary,sources_all,source_url_primary,source_url_secondary,fetched_at
FY2018-06,9344,eps,,JPY,0.01,SINGLE_SOURCE,irbank_pl_comprehensive,-46.49,-46.49,,,,irbank_pl_comprehensive=-46.49,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2018-06,9344,equity_ratio,,pct,0.1,SINGLE_SOURCE,irbank_bs,11.6,11.6,,,,irbank_bs=11.6,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2018-06,9344,net_assets,,JPY_million,1,SINGLE_SOURCE,irbank_bs,86,0.86億,,,,irbank_bs=86,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2018-06,9344,net_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_comprehensive,-145,-145百万,,,,irbank_pl_comprehensive=-145,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2018-06,9344,ordinary_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_comprehensive,74,74百万,,,,irbank_pl_comprehensive=74,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2018-06,9344,revenue,1137,JPY_million,10,OK|ROUNDING|NONCONSOLIDATED|PERIOD_ASTERISK,kabutan_fy10,1137,"1,137",irbank_pl_comprehensive,1140,11.4億,kabutan_fy10=1137|irbank_pl_comprehensive=1140,https://kabutan.jp/stock/finance?code=9344,https://irbank.net/E38452/results,2026-08-31T01:24:49.228521+09:00
FY2018-06,9344,total_assets,,JPY_million,1,SINGLE_SOURCE,irbank_bs,741,7.41億,,,,irbank_bs=741,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2019-06,9344,eps,,JPY,0.01,SINGLE_SOURCE,irbank_pl_comprehensive,15.06,15.06,,,,irbank_pl_comprehensive=15.06,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2019-06,9344,equity_ratio,,pct,0.1,SINGLE_SOURCE,irbank_bs,26.7,26.7,,,,irbank_bs=26.7,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2019-06,9344,net_assets,,JPY_million,1,SINGLE_SOURCE,irbank_bs,207,2.07億,,,,irbank_bs=207,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2019-06,9344,net_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_comprehensive,61,61百万,,,,irbank_pl_comprehensive=61,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2019-06,9344,ordinary_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_comprehensive,166,166百万,,,,irbank_pl_comprehensive=166,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2019-06,9344,revenue,1284,JPY_million,10,OK|ROUNDING|NONCONSOLIDATED|PERIOD_ASTERISK,kabutan_fy10,1284,"1,284",irbank_pl_comprehensive,1280,12.8億,kabutan_fy10=1284|irbank_pl_comprehensive=1280,https://kabutan.jp/stock/finance?code=9344,https://irbank.net/E38452/results,2026-08-31T01:24:49.228521+09:00
FY2019-06,9344,roa,,pct,0.01,SINGLE_SOURCE,irbank_pl_comprehensive,7.82,7.82,,,,irbank_pl_comprehensive=7.82,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2019-06,9344,total_assets,,JPY_million,1,SINGLE_SOURCE,irbank_bs,774,7.74億,,,,irbank_bs=774,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2020-06,9344,cash_equivalents,,JPY_million,1,SINGLE_SOURCE,irbank_cf,952,9.52億,,,,irbank_cf=952,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2020-06,9344,eps,,JPY,0.01,SINGLE_SOURCE,irbank_pl_comprehensive,16.55,16.55,,,,irbank_pl_comprehensive=16.55,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2020-06,9344,net_assets,,JPY_million,1,SINGLE_SOURCE,irbank_bs,299,2.99億,,,,irbank_bs=299,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2020-06,9344,net_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_comprehensive,67,67百万,,,,irbank_pl_comprehensive=67,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2020-06,9344,ordinary_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_comprehensive,143,143百万,,,,irbank_pl_comprehensive=143,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2020-06,9344,revenue,1386,JPY_million,10,OK|ROUNDING|NONCONSOLIDATED|PERIOD_ASTERISK,kabutan_fy10,1386,"1,386",irbank_pl_comprehensive,1390,13.9億,kabutan_fy10=1386|irbank_pl_comprehensive=1390,https://kabutan.jp/stock/finance?code=9344,https://irbank.net/E38452/results,2026-08-31T01:24:49.228521+09:00
FY2021-06,9344,bps,,JPY,0.01,SINGLE_SOURCE,irbank_bs,133.76,133.76,,,,irbank_bs=133.76,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2021-06,9344,cash_equivalents,,JPY_million,10,SINGLE_SOURCE,irbank_cf,1030,10.3億,,,,irbank_cf=1030,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2021-06,9344,cost_ratio,,pct,0.01,SINGLE_SOURCE,irbank_pl_comprehensive,30.17,30.17,,,,irbank_pl_comprehensive=30.17,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2021-06,9344,eps,,JPY,0.01,SINGLE_SOURCE,irbank_pl_comprehensive,59.45,59.45,,,,irbank_pl_comprehensive=59.45,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2021-06,9344,equity_ratio,,pct,0.1,SINGLE_SOURCE,irbank_bs,36.2,36.2,,,,irbank_bs=36.2,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2021-06,9344,financing_cf,,JPY_million,1,SINGLE_SOURCE,irbank_cf,-155,-1.55億,,,,irbank_cf=-155,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2021-06,9344,free_cf,,JPY_million,1,SINGLE_SOURCE,irbank_cf,230,230百万,,,,irbank_cf=230,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2021-06,9344,interest_bearing_debt,,JPY_million,1,SINGLE_SOURCE,irbank_bs,495,495百万,,,,irbank_bs=495,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2021-06,9344,interest_bearing_debt_ratio,,x,0.0001,SINGLE_SOURCE|UNIT_CONVERTED,irbank_bs,0.9209,92.09,,,,irbank_bs=0.9209,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2021-06,9344,investing_cf,,JPY_million,1,SINGLE_SOURCE,irbank_cf,16,16百万,,,,irbank_cf=16,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2021-06,9344,net_assets,,JPY_million,1,SINGLE_SOURCE,irbank_bs,537,5.37億,,,,irbank_bs=537,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2021-06,9344,net_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_comprehensive,239,239百万,,,,irbank_pl_comprehensive=239,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2021-06,9344,operating_cf,,JPY_million,1,SINGLE_SOURCE,irbank_cf,214,2.14億,,,,irbank_cf=214,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2021-06,9344,operating_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_comprehensive,315,315百万,,,,irbank_pl_comprehensive=315,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2021-06,9344,operating_margin,,pct,0.01,SINGLE_SOURCE,irbank_pl_comprehensive,14.31,14.31,,,,irbank_pl_comprehensive=14.31,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2021-06,9344,ordinary_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_comprehensive,307,307百万,,,,irbank_pl_comprehensive=307,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2021-06,9344,retained_earnings,,JPY_million,1,SINGLE_SOURCE,irbank_bs,406,4.06億,,,,irbank_bs=406,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2021-06,9344,revenue,2203,JPY_million,100,OK|ROUNDING|PERIOD_ASTERISK,kabutan_fy10,2203,"2,203",irbank_pl_comprehensive,2200,22億,kabutan_fy10=2203|irbank_pl_comprehensive=2200,https://kabutan.jp/stock/finance?code=9344,https://irbank.net/E38452/results,2026-08-31T01:24:49.228521+09:00
FY2021-06,9344,roa,,pct,0.01,SINGLE_SOURCE,irbank_pl_comprehensive,16.08,16.08,,,,irbank_pl_comprehensive=16.08,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2021-06,9344,roe,,pct,0.01,SINGLE_SOURCE,irbank_pl_comprehensive,44.45,44.45,,,,irbank_pl_comprehensive=44.45,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2021-06,9344,sga_ratio,,pct,0.01,SINGLE_SOURCE,irbank_pl_comprehensive,55.53,55.53,,,,irbank_pl_comprehensive=55.53,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2021-06,9344,shareholders_equity,,JPY_million,1,SINGLE_SOURCE,irbank_bs,538,5.38億,,,,irbank_bs=538,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2021-06,9344,total_assets,,JPY_million,10,SINGLE_SOURCE,irbank_bs,1490,14.9億,,,,irbank_bs=1490,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2022-06,9344,bps,,JPY,0.1,SINGLE_SOURCE,irbank_bs,214.6,214.6,,,,irbank_bs=214.6,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2022-06,9344,capex,,JPY_million,1,SINGLE_SOURCE,irbank_cf,-22,-22百万,,,,irbank_cf=-22,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2022-06,9344,cash_equivalents,,JPY_million,10,SINGLE_SOURCE,irbank_cf,1490,14.9億,,,,irbank_cf=1490,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2022-06,9344,cost_ratio,,pct,0.01,SINGLE_SOURCE,irbank_pl_comprehensive,36.21,36.21,,,,irbank_pl_comprehensive=36.21,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2022-06,9344,eps,,JPY,0.1,SINGLE_SOURCE,irbank_pl_comprehensive,80.6,80.6,,,,irbank_pl_comprehensive=80.6,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2022-06,9344,equity_ratio,,pct,1,SINGLE_SOURCE,irbank_bs,41,41,,,,irbank_bs=41,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2022-06,9344,financing_cf,,JPY_million,1,SINGLE_SOURCE,irbank_cf,-166,-1.66億,,,,irbank_cf=-166,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2022-06,9344,free_cf,,JPY_million,1,SINGLE_SOURCE,irbank_cf,624,624百万,,,,irbank_cf=624,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2022-06,9344,interest_bearing_debt,,JPY_million,1,SINGLE_SOURCE,irbank_bs,330,330百万,,,,irbank_bs=330,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2022-06,9344,interest_bearing_debt_ratio,,x,0.0001,SINGLE_SOURCE|UNIT_CONVERTED,irbank_bs,0.3825,38.25,,,,irbank_bs=0.3825,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2022-06,9344,investing_cf,,JPY_million,1,SINGLE_SOURCE,irbank_cf,-33,-33百万,,,,irbank_cf=-33,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2022-06,9344,net_assets,,JPY_million,1,SINGLE_SOURCE,irbank_bs,862,8.62億,,,,irbank_bs=862,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2022-06,9344,net_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_comprehensive,324,324百万,,,,irbank_pl_comprehensive=324,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2022-06,9344,operating_cf,,JPY_million,1,SINGLE_SOURCE,irbank_cf,657,6.57億,,,,irbank_cf=657,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2022-06,9344,operating_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_comprehensive,501,501百万,,,,irbank_pl_comprehensive=501,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2022-06,9344,operating_margin,,pct,0.01,SINGLE_SOURCE,irbank_pl_comprehensive,14.27,14.27,,,,irbank_pl_comprehensive=14.27,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2022-06,9344,ordinary_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_comprehensive,493,493百万,,,,irbank_pl_comprehensive=493,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2022-06,9344,retained_earnings,,JPY_million,1,SINGLE_SOURCE,irbank_bs,731,7.31億,,,,irbank_bs=731,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2022-06,9344,revenue,3513,JPY_million,10,OK|ROUNDING|PERIOD_ASTERISK,kabutan_fy10,3513,"3,513",irbank_pl_comprehensive,3510,35.1億,kabutan_fy10=3513|irbank_pl_comprehensive=3510,https://kabutan.jp/stock/finance?code=9344,https://irbank.net/E38452/results,2026-08-31T01:24:49.228521+09:00
FY2022-06,9344,roa,,pct,0.1,SINGLE_SOURCE,irbank_pl_comprehensive,15.4,15.4,,,,irbank_pl_comprehensive=15.4,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2022-06,9344,roe,,pct,0.01,SINGLE_SOURCE,irbank_pl_comprehensive,37.56,37.56,,,,irbank_pl_comprehensive=37.56,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2022-06,9344,sga_ratio,,pct,0.01,SINGLE_SOURCE,irbank_pl_comprehensive,49.53,49.53,,,,irbank_pl_comprehensive=49.53,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
FY2022-06,9344,shareholders_equity,,JPY_million,1,SINGLE_SOURCE,irbank_bs,863,8.63億,,,,irbank_bs=863,https://irbank.net/E38452/results,,2026-08-31T01:24:49.228521+09:00
