period,code,metric,value,unit,tolerance,status,source_primary,value_primary,raw_primary,source_secondary,value_secondary,raw_secondary,sources_all,source_url_primary,source_url_secondary,fetched_at
FY2012-09,6570,revenue,,JPY_million,1,SINGLE_SOURCE|NONCONSOLIDATED|PERIOD_ASTERISK,kabutan_fy10,8099,"8,099",,,,kabutan_fy10=8099,https://kabutan.jp/stock/finance?code=6570,,2026-08-13T11:40:46.611262+09:00
FY2013-03,6570,eps,,JPY,0.01,SINGLE_SOURCE,irbank_pl_consolidated,4.55,4.55,,,,irbank_pl_consolidated=4.55,https://irbank.net/E33822/results,,2026-08-13T11:40:46.611262+09:00
FY2013-03,6570,equity_ratio,,pct,0.1,SINGLE_SOURCE,irbank_bs,22.9,22.9,,,,irbank_bs=22.9,https://irbank.net/E33822/results,,2026-08-13T11:40:46.611262+09:00
FY2013-03,6570,net_assets,,JPY_million,10,SINGLE_SOURCE,irbank_bs,1430,14.3億,,,,irbank_bs=1430,https://irbank.net/E33822/results,,2026-08-13T11:40:46.611262+09:00
FY2013-03,6570,net_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_consolidated,22,0.22億,,,,irbank_pl_consolidated=22,https://irbank.net/E33822/results,,2026-08-13T11:40:46.611262+09:00
FY2013-03,6570,ordinary_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_consolidated,57,0.57億,,,,irbank_pl_consolidated=57,https://irbank.net/E33822/results,,2026-08-13T11:40:46.611262+09:00
FY2013-03,6570,revenue,,JPY_million,100,SINGLE_SOURCE,irbank_pl_consolidated,8100,81億,,,,irbank_pl_consolidated=8100,https://irbank.net/E33822/results,,2026-08-13T11:40:46.611262+09:00
FY2013-03,6570,roa,,pct,0.01,SINGLE_SOURCE,irbank_pl_consolidated,0.36,0.36,,,,irbank_pl_consolidated=0.36,https://irbank.net/E33822/results,,2026-08-13T11:40:46.611262+09:00
FY2013-03,6570,total_assets,,JPY_million,10,SINGLE_SOURCE,irbank_bs,6230,62.3億,,,,irbank_bs=6230,https://irbank.net/E33822/results,,2026-08-13T11:40:46.611262+09:00
FY2013-09,6570,revenue,,JPY_million,1,SINGLE_SOURCE|NONCONSOLIDATED|PERIOD_ASTERISK,kabutan_fy10,7931,"7,931",,,,kabutan_fy10=7931,https://kabutan.jp/stock/finance?code=6570,,2026-08-13T11:40:46.611262+09:00
FY2014-03,6570,eps,,JPY,0.01,SINGLE_SOURCE,irbank_pl_consolidated,15.67,15.67,,,,irbank_pl_consolidated=15.67,https://irbank.net/E33822/results,,2026-08-13T11:40:46.611262+09:00
FY2014-03,6570,equity_ratio,,pct,0.1,SINGLE_SOURCE,irbank_bs,23.8,23.8,,,,irbank_bs=23.8,https://irbank.net/E33822/results,,2026-08-13T11:40:46.611262+09:00
FY2014-03,6570,net_assets,,JPY_million,100,SINGLE_SOURCE,irbank_bs,1500,15億,,,,irbank_bs=1500,https://irbank.net/E33822/results,,2026-08-13T11:40:46.611262+09:00
FY2014-03,6570,net_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_consolidated,77,0.77億,,,,irbank_pl_consolidated=77,https://irbank.net/E33822/results,,2026-08-13T11:40:46.611262+09:00
FY2014-03,6570,ordinary_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_consolidated,142,1.42億,,,,irbank_pl_consolidated=142,https://irbank.net/E33822/results,,2026-08-13T11:40:46.611262+09:00
FY2014-03,6570,revenue,,JPY_million,10,SINGLE_SOURCE,irbank_pl_consolidated,7930,79.3億,,,,irbank_pl_consolidated=7930,https://irbank.net/E33822/results,,2026-08-13T11:40:46.611262+09:00
FY2014-03,6570,roa,,pct,0.01,SINGLE_SOURCE,irbank_pl_consolidated,1.23,1.23,,,,irbank_pl_consolidated=1.23,https://irbank.net/E33822/results,,2026-08-13T11:40:46.611262+09:00
FY2014-03,6570,total_assets,,JPY_million,10,SINGLE_SOURCE,irbank_bs,6290,62.9億,,,,irbank_bs=6290,https://irbank.net/E33822/results,,2026-08-13T11:40:46.611262+09:00
FY2015-03,6570,cash_equivalents,,JPY_million,10,SINGLE_SOURCE,irbank_cf,1140,11.4億,,,,irbank_cf=1140,https://irbank.net/E33822/results,,2026-08-13T11:40:46.611262+09:00
