period,code,metric,value,unit,tolerance,status,source_primary,value_primary,raw_primary,source_secondary,value_secondary,raw_secondary,sources_all,source_url_primary,source_url_secondary,fetched_at
FY2003-03,3851,revenue,,JPY_million,1,SINGLE_SOURCE|NONCONSOLIDATED|PERIOD_ASTERISK,kabutan_fy10,517,517,,,,kabutan_fy10=517,https://kabutan.jp/stock/finance?code=3851,,2026-08-13T11:40:46.611262+09:00
FY2004-03,3851,revenue,,JPY_million,1,SINGLE_SOURCE|NONCONSOLIDATED|PERIOD_ASTERISK,kabutan_fy10,880,880,,,,kabutan_fy10=880,https://kabutan.jp/stock/finance?code=3851,,2026-08-13T11:40:46.611262+09:00
FY2005-03,3851,revenue,,JPY_million,1,SINGLE_SOURCE|PERIOD_ASTERISK,kabutan_fy10,1167,"1,167",,,,kabutan_fy10=1167,https://kabutan.jp/stock/finance?code=3851,,2026-08-13T11:40:46.611262+09:00
FY2006-03,3851,revenue,,JPY_million,1,SINGLE_SOURCE|PERIOD_ASTERISK,kabutan_fy10,1593,"1,593",,,,kabutan_fy10=1593,https://kabutan.jp/stock/finance?code=3851,,2026-08-13T11:40:46.611262+09:00
FY2007-03,3851,revenue,,JPY_million,1,SINGLE_SOURCE|PERIOD_ASTERISK,kabutan_fy10,1846,"1,846",,,,kabutan_fy10=1846,https://kabutan.jp/stock/finance?code=3851,,2026-08-13T11:40:46.611262+09:00
FY2008-03,3851,capex,,JPY_million,1,SINGLE_SOURCE,irbank_cf,-549,-549百万,,,,irbank_cf=-549,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2008-03,3851,cash_equivalents,,JPY_million,1,SINGLE_SOURCE,irbank_cf,427,4.27億,,,,irbank_cf=427,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2008-03,3851,cost_ratio,,pct,0.01,SINGLE_SOURCE,irbank_pl_consolidated,52.65,52.65,,,,irbank_pl_consolidated=52.65,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2008-03,3851,equity,,JPY_million,10,SINGLE_SOURCE,irbank_bs,1250,12.5億,,,,irbank_bs=1250,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2008-03,3851,equity_ratio,,pct,0.1,SINGLE_SOURCE,irbank_bs,55.8,55.8,,,,irbank_bs=55.8,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2008-03,3851,financing_cf,,JPY_million,1,SINGLE_SOURCE,irbank_cf,716,716百万,,,,irbank_cf=716,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2008-03,3851,free_cf,,JPY_million,1,SINGLE_SOURCE,irbank_cf,-661,-6.61億,,,,irbank_cf=-661,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2008-03,3851,interest_bearing_debt,,JPY_million,1,SINGLE_SOURCE,irbank_bs,683,6.83億,,,,irbank_bs=683,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2008-03,3851,interest_bearing_debt_ratio,,x,0.0001,SINGLE_SOURCE|UNIT_CONVERTED,irbank_bs,0.5633,56.33,,,,irbank_bs=0.5633,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2008-03,3851,investing_cf,,JPY_million,1,SINGLE_SOURCE,irbank_cf,-724,-7.24億,,,,irbank_cf=-724,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2008-03,3851,net_assets,,JPY_million,10,SINGLE_SOURCE,irbank_bs,1210,12.1億,,,,irbank_bs=1210,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2008-03,3851,net_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_consolidated,109,1.09億,,,,irbank_pl_consolidated=109,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2008-03,3851,operating_cf,,JPY_million,1,SINGLE_SOURCE,irbank_cf,63,0.63億,,,,irbank_cf=63,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2008-03,3851,operating_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_consolidated,327,3.27億,,,,irbank_pl_consolidated=327,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2008-03,3851,operating_margin,,pct,0.01,SINGLE_SOURCE,irbank_pl_consolidated,15.24,15.24,,,,irbank_pl_consolidated=15.24,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2008-03,3851,ordinary_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_consolidated,283,2.83億,,,,irbank_pl_consolidated=283,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2008-03,3851,retained_earnings,,JPY_million,1,SINGLE_SOURCE,irbank_bs,776,7.76億,,,,irbank_bs=776,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2008-03,3851,revenue,2145,JPY_million,10,OK|ROUNDING,kabutan_fy10,2145,"2,145",irbank_pl_consolidated,2150,21.5億,kabutan_fy10=2145|irbank_pl_consolidated=2150,https://kabutan.jp/stock/finance?code=3851,https://irbank.net/E02489/results,2026-08-13T11:40:46.611262+09:00
FY2008-03,3851,roa,,pct,0.01,SINGLE_SOURCE,irbank_pl_consolidated,5.03,5.03,,,,irbank_pl_consolidated=5.03,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2008-03,3851,roe,,pct,0.01,SINGLE_SOURCE,irbank_pl_consolidated,9.01,9.01,,,,irbank_pl_consolidated=9.01,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2008-03,3851,sga_ratio,,pct,0.01,SINGLE_SOURCE,irbank_pl_consolidated,32.11,32.11,,,,irbank_pl_consolidated=32.11,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2008-03,3851,total_assets,,JPY_million,10,SINGLE_SOURCE,irbank_bs,2170,21.7億,,,,irbank_bs=2170,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2009-03,3851,capex,,JPY_million,1,SINGLE_SOURCE,irbank_cf,-46,-46百万,,,,irbank_cf=-46,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2009-03,3851,cash_equivalents,,JPY_million,1,SINGLE_SOURCE,irbank_cf,473,4.73億,,,,irbank_cf=473,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2009-03,3851,cost_ratio,,pct,0.01,SINGLE_SOURCE,irbank_pl_consolidated,53.27,53.27,,,,irbank_pl_consolidated=53.27,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2009-03,3851,equity,,JPY_million,10,SINGLE_SOURCE,irbank_bs,1160,11.6億,,,,irbank_bs=1160,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2009-03,3851,equity_ratio,,pct,0.01,SINGLE_SOURCE,irbank_bs,48.62,48.62,,,,irbank_bs=48.62,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2009-03,3851,financing_cf,,JPY_million,1,SINGLE_SOURCE,irbank_cf,135,135百万,,,,irbank_cf=135,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2009-03,3851,free_cf,,JPY_million,1,SINGLE_SOURCE,irbank_cf,-87,-0.87億,,,,irbank_cf=-87,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2009-03,3851,interest_bearing_debt,,JPY_million,1,SINGLE_SOURCE,irbank_bs,838,8.38億,,,,irbank_bs=838,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2009-03,3851,interest_bearing_debt_ratio,,x,0.01,SINGLE_SOURCE|UNIT_CONVERTED,irbank_bs,0.76,76,,,,irbank_bs=0.76,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2009-03,3851,investing_cf,,JPY_million,1,SINGLE_SOURCE,irbank_cf,41,0.41億,,,,irbank_cf=41,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2009-03,3851,net_assets,,JPY_million,100,SINGLE_SOURCE,irbank_bs,1100,11億,,,,irbank_bs=1100,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2009-03,3851,net_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_consolidated,-66,-0.66億,,,,irbank_pl_consolidated=-66,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2009-03,3851,operating_cf,,JPY_million,1,SINGLE_SOURCE,irbank_cf,-128,-1.28億,,,,irbank_cf=-128,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2009-03,3851,operating_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_consolidated,166,1.66億,,,,irbank_pl_consolidated=166,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2009-03,3851,operating_margin,,pct,0.01,SINGLE_SOURCE,irbank_pl_consolidated,8.01,8.01,,,,irbank_pl_consolidated=8.01,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2009-03,3851,ordinary_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_consolidated,156,1.56億,,,,irbank_pl_consolidated=156,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2009-03,3851,retained_earnings,,JPY_million,1,SINGLE_SOURCE,irbank_bs,705,7.05億,,,,irbank_bs=705,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2009-03,3851,revenue,2073,JPY_million,10,OK|ROUNDING,kabutan_fy10,2073,"2,073",irbank_pl_consolidated,2070,20.7億,kabutan_fy10=2073|irbank_pl_consolidated=2070,https://kabutan.jp/stock/finance?code=3851,https://irbank.net/E02489/results,2026-08-13T11:40:46.611262+09:00
FY2009-03,3851,sga_ratio,,pct,0.01,SINGLE_SOURCE,irbank_pl_consolidated,38.72,38.72,,,,irbank_pl_consolidated=38.72,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2009-03,3851,total_assets,,JPY_million,10,SINGLE_SOURCE,irbank_bs,2270,22.7億,,,,irbank_bs=2270,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2010-03,3851,bps,,JPY,0.01,SINGLE_SOURCE,irbank_bs,180.31,180.31,,,,irbank_bs=180.31,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2010-03,3851,capex,,JPY_million,1,SINGLE_SOURCE,irbank_cf,-54,-54百万,,,,irbank_cf=-54,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2010-03,3851,cash_equivalents,,JPY_million,1,SINGLE_SOURCE,irbank_cf,526,5.26億,,,,irbank_cf=526,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2010-03,3851,cost_ratio,,pct,0.1,SINGLE_SOURCE,irbank_pl_consolidated,73.9,73.9,,,,irbank_pl_consolidated=73.9,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2010-03,3851,eps,,JPY,0.01,SINGLE_SOURCE,irbank_pl_consolidated,-78.54,-78.54,,,,irbank_pl_consolidated=-78.54,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2010-03,3851,equity,,JPY_million,1,SINGLE_SOURCE,irbank_bs,822,8.22億,,,,irbank_bs=822,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2010-03,3851,equity_ratio,,pct,0.1,SINGLE_SOURCE,irbank_bs,37.8,37.8,,,,irbank_bs=37.8,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2010-03,3851,financing_cf,,JPY_million,1,SINGLE_SOURCE,irbank_cf,41,41百万,,,,irbank_cf=41,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2010-03,3851,free_cf,,JPY_million,1,SINGLE_SOURCE,irbank_cf,32,0.32億,,,,irbank_cf=32,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2010-03,3851,interest_bearing_debt,,JPY_million,1,SINGLE_SOURCE,irbank_bs,883,8.83億,,,,irbank_bs=883,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2010-03,3851,interest_bearing_debt_ratio,,x,0.001,SINGLE_SOURCE|UNIT_CONVERTED,irbank_bs,1.156,115.6,,,,irbank_bs=1.156,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2010-03,3851,investing_cf,,JPY_million,1,SINGLE_SOURCE,irbank_cf,-37,-0.37億,,,,irbank_cf=-37,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2010-03,3851,net_assets,,JPY_million,1,SINGLE_SOURCE,irbank_bs,764,7.64億,,,,irbank_bs=764,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2010-03,3851,net_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_consolidated,-333,-3.33億,,,,irbank_pl_consolidated=-333,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2010-03,3851,operating_cf,,JPY_million,1,SINGLE_SOURCE,irbank_cf,69,0.69億,,,,irbank_cf=69,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2010-03,3851,operating_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_consolidated,-235,-2.35億,,,,irbank_pl_consolidated=-235,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2010-03,3851,operating_margin,,pct,0.01,SINGLE_SOURCE,irbank_pl_consolidated,-11.08,-11.08,,,,irbank_pl_consolidated=-11.08,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2010-03,3851,ordinary_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_consolidated,-233,-2.33億,,,,irbank_pl_consolidated=-233,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2010-03,3851,retained_earnings,,JPY_million,1,SINGLE_SOURCE,irbank_bs,368,3.68億,,,,irbank_bs=368,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2010-03,3851,revenue,2123,JPY_million,10,OK|ROUNDING,kabutan_fy10,2123,"2,123",irbank_pl_consolidated,2120,21.2億,kabutan_fy10=2123|irbank_pl_consolidated=2120,https://kabutan.jp/stock/finance?code=3851,https://irbank.net/E02489/results,2026-08-13T11:40:46.611262+09:00
FY2010-03,3851,sga_ratio,,pct,0.01,SINGLE_SOURCE,irbank_pl_consolidated,37.18,37.18,,,,irbank_pl_consolidated=37.18,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2010-03,3851,total_assets,,JPY_million,10,SINGLE_SOURCE,irbank_bs,2020,20.2億,,,,irbank_bs=2020,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2011-03,3851,bps,,JPY,0.01,SINGLE_SOURCE,irbank_bs,224.83,224.83,,,,irbank_bs=224.83,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2011-03,3851,capex,,JPY_million,1,SINGLE_SOURCE,irbank_cf,-23,-23百万,,,,irbank_cf=-23,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2011-03,3851,cash_equivalents,,JPY_million,1,SINGLE_SOURCE,irbank_cf,487,4.87億,,,,irbank_cf=487,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
FY2011-03,3851,cost_ratio,,pct,0.01,SINGLE_SOURCE,irbank_pl_consolidated,50.12,50.12,,,,irbank_pl_consolidated=50.12,https://irbank.net/E02489/results,,2026-08-13T11:40:46.611262+09:00
