period,code,metric,value,unit,tolerance,status,source_primary,value_primary,raw_primary,source_secondary,value_secondary,raw_secondary,sources_all,source_url_primary,source_url_secondary,fetched_at
C2023-10_2024-06,4937,eps,,JPY,0.1,SINGLE_SOURCE,kabutan_ytd3q,-32.4,-32.4,,,,kabutan_ytd3q=-32.4,https://kabutan.jp/stock/finance?code=4937,,2026-08-13T11:40:46.611262+09:00
C2023-10_2024-06,4937,net_income,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,-110,-110,,,,kabutan_ytd3q=-110,https://kabutan.jp/stock/finance?code=4937,,2026-08-13T11:40:46.611262+09:00
C2023-10_2024-06,4937,operating_income,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,-64,-64,,,,kabutan_ytd3q=-64,https://kabutan.jp/stock/finance?code=4937,,2026-08-13T11:40:46.611262+09:00
C2023-10_2024-06,4937,ordinary_income,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,-63,-63,,,,kabutan_ytd3q=-63,https://kabutan.jp/stock/finance?code=4937,,2026-08-13T11:40:46.611262+09:00
C2023-10_2024-06,4937,revenue,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,1424,"1,424",,,,kabutan_ytd3q=1424,https://kabutan.jp/stock/finance?code=4937,,2026-08-13T11:40:46.611262+09:00
C2024-10_2025-06,4937,eps,,JPY,0.1,SINGLE_SOURCE,kabutan_ytd3q,-17.1,-17.1,,,,kabutan_ytd3q=-17.1,https://kabutan.jp/stock/finance?code=4937,,2026-08-13T11:40:46.611262+09:00
C2024-10_2025-06,4937,net_income,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,-61,-61,,,,kabutan_ytd3q=-61,https://kabutan.jp/stock/finance?code=4937,,2026-08-13T11:40:46.611262+09:00
C2024-10_2025-06,4937,operating_income,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,-32,-32,,,,kabutan_ytd3q=-32,https://kabutan.jp/stock/finance?code=4937,,2026-08-13T11:40:46.611262+09:00
C2024-10_2025-06,4937,ordinary_income,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,-33,-33,,,,kabutan_ytd3q=-33,https://kabutan.jp/stock/finance?code=4937,,2026-08-13T11:40:46.611262+09:00
C2024-10_2025-06,4937,revenue,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,1316,"1,316",,,,kabutan_ytd3q=1316,https://kabutan.jp/stock/finance?code=4937,,2026-08-13T11:40:46.611262+09:00
C2025-10_2026-06,4937,eps,,JPY,0.1,SINGLE_SOURCE,kabutan_ytd3q,110.9,110.9,,,,kabutan_ytd3q=110.9,https://kabutan.jp/stock/finance?code=4937,,2026-08-13T11:40:46.611262+09:00
C2025-10_2026-06,4937,equity,,JPY_million,1,SINGLE_SOURCE,kabutan_bs,2495,"2,495",,,,kabutan_bs=2495,https://kabutan.jp/stock/finance?code=4937,,2026-08-13T11:40:46.611262+09:00
C2025-10_2026-06,4937,equity_ratio,,pct,0.1,SINGLE_SOURCE,kabutan_bs,67.8,67.8,,,,kabutan_bs=67.8,https://kabutan.jp/stock/finance?code=4937,,2026-08-13T11:40:46.611262+09:00
C2025-10_2026-06,4937,interest_bearing_debt_ratio,,x,0.01,SINGLE_SOURCE,kabutan_bs,0.23,0.23,,,,kabutan_bs=0.23,https://kabutan.jp/stock/finance?code=4937,,2026-08-13T11:40:46.611262+09:00
C2025-10_2026-06,4937,net_income,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,392,392,,,,kabutan_ytd3q=392,https://kabutan.jp/stock/finance?code=4937,,2026-08-13T11:40:46.611262+09:00
C2025-10_2026-06,4937,operating_income,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,415,415,,,,kabutan_ytd3q=415,https://kabutan.jp/stock/finance?code=4937,,2026-08-13T11:40:46.611262+09:00
C2025-10_2026-06,4937,ordinary_income,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,409,409,,,,kabutan_ytd3q=409,https://kabutan.jp/stock/finance?code=4937,,2026-08-13T11:40:46.611262+09:00
C2025-10_2026-06,4937,retained_earnings,,JPY_million,1,SINGLE_SOURCE,kabutan_bs,54,54,,,,kabutan_bs=54,https://kabutan.jp/stock/finance?code=4937,,2026-08-13T11:40:46.611262+09:00
C2025-10_2026-06,4937,revenue,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,2039,"2,039",,,,kabutan_ytd3q=2039,https://kabutan.jp/stock/finance?code=4937,,2026-08-13T11:40:46.611262+09:00
C2025-10_2026-06,4937,total_assets,,JPY_million,1,SINGLE_SOURCE,kabutan_bs,3683,"3,683",,,,kabutan_bs=3683,https://kabutan.jp/stock/finance?code=4937,,2026-08-13T11:40:46.611262+09:00
FY2016-09,4937,eps,,JPY,0.1,MISMATCH,kabutan_record_fy,44.6,44.6,irbank_pl_comprehensive,42.62,42.62,kabutan_record_fy=44.6|irbank_pl_comprehensive=42.62,https://kabutan.jp/stock/finance?code=4937,https://irbank.net/E36697/results,2026-08-13T11:40:46.611262+09:00
FY2016-09,4937,equity_ratio,,pct,0.1,SINGLE_SOURCE,irbank_bs,44.7,44.7,,,,irbank_bs=44.7,https://irbank.net/E36697/results,,2026-08-13T11:40:46.611262+09:00
FY2016-09,4937,net_assets,,JPY_million,1,SINGLE_SOURCE,irbank_bs,257,2.57億,,,,irbank_bs=257,https://irbank.net/E36697/results,,2026-08-13T11:40:46.611262+09:00
FY2016-09,4937,net_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_comprehensive,94,94百万,,,,irbank_pl_comprehensive=94,https://irbank.net/E36697/results,,2026-08-13T11:40:46.611262+09:00
FY2016-09,4937,ordinary_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_comprehensive,120,120百万,,,,irbank_pl_comprehensive=120,https://irbank.net/E36697/results,,2026-08-13T11:40:46.611262+09:00
FY2016-09,4937,revenue,1145,JPY_million,10,OK|ROUNDING|NONCONSOLIDATED|PERIOD_ASTERISK,kabutan_fy10,1145,"1,145",irbank_pl_comprehensive,1150,11.5億,kabutan_fy10=1145|irbank_pl_comprehensive=1150,https://kabutan.jp/stock/finance?code=4937,https://irbank.net/E36697/results,2026-08-13T11:40:46.611262+09:00
FY2016-09,4937,roa,,pct,0.1,SINGLE_SOURCE,irbank_pl_comprehensive,16.4,16.4,,,,irbank_pl_comprehensive=16.4,https://irbank.net/E36697/results,,2026-08-13T11:40:46.611262+09:00
FY2016-09,4937,total_assets,,JPY_million,1,SINGLE_SOURCE,irbank_bs,574,5.74億,,,,irbank_bs=574,https://irbank.net/E36697/results,,2026-08-13T11:40:46.611262+09:00
FY2017-09,4937,eps,,JPY,0.01,SINGLE_SOURCE,irbank_pl_comprehensive,15.78,15.78,,,,irbank_pl_comprehensive=15.78,https://irbank.net/E36697/results,,2026-08-13T11:40:46.611262+09:00
FY2017-09,4937,equity_ratio,,pct,0.1,SINGLE_SOURCE,irbank_bs,49.8,49.8,,,,irbank_bs=49.8,https://irbank.net/E36697/results,,2026-08-13T11:40:46.611262+09:00
FY2017-09,4937,net_assets,,JPY_million,1,SINGLE_SOURCE,irbank_bs,292,2.92億,,,,irbank_bs=292,https://irbank.net/E36697/results,,2026-08-13T11:40:46.611262+09:00
FY2017-09,4937,net_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_comprehensive,35,35百万,,,,irbank_pl_comprehensive=35,https://irbank.net/E36697/results,,2026-08-13T11:40:46.611262+09:00
FY2017-09,4937,ordinary_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_comprehensive,80,80百万,,,,irbank_pl_comprehensive=80,https://irbank.net/E36697/results,,2026-08-13T11:40:46.611262+09:00
