period,code,metric,value,unit,tolerance,status,source_primary,value_primary,raw_primary,source_secondary,value_secondary,raw_secondary,sources_all,source_url_primary,source_url_secondary,fetched_at
FY2010-03,6027,eps,,JPY,0.01,SINGLE_SOURCE,irbank_pl_comprehensive,-1.48,-1.48,,,,irbank_pl_comprehensive=-1.48,https://irbank.net/E31009/results,,2026-08-31T01:24:49.228521+09:00
FY2010-03,6027,equity_ratio,,pct,0.1,SINGLE_SOURCE,irbank_bs,-102.4,-102.4,,,,irbank_bs=-102.4,https://irbank.net/E31009/results,,2026-08-31T01:24:49.228521+09:00
FY2010-03,6027,net_assets,,JPY_million,1,SINGLE_SOURCE,irbank_bs,-17,-0.17億,,,,irbank_bs=-17,https://irbank.net/E31009/results,,2026-08-31T01:24:49.228521+09:00
FY2010-03,6027,net_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_comprehensive,-25,-0.25億,,,,irbank_pl_comprehensive=-25,https://irbank.net/E31009/results,,2026-08-31T01:24:49.228521+09:00
FY2010-03,6027,ordinary_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_comprehensive,-25,-0.25億,,,,irbank_pl_comprehensive=-25,https://irbank.net/E31009/results,,2026-08-31T01:24:49.228521+09:00
FY2010-03,6027,revenue,91,JPY_million,1,OK|ROUNDING|NONCONSOLIDATED|PERIOD_ASTERISK,kabutan_fy10,91,91,irbank_pl_comprehensive,92,0.92億,kabutan_fy10=91|irbank_pl_comprehensive=92,https://kabutan.jp/stock/finance?code=6027,https://irbank.net/E31009/results,2026-08-31T01:24:49.228521+09:00
FY2010-03,6027,total_assets,,JPY_million,1,SINGLE_SOURCE,irbank_bs,17,0.17億,,,,irbank_bs=17,https://irbank.net/E31009/results,,2026-08-31T01:24:49.228521+09:00
FY2011-03,6027,eps,,JPY,0.01,SINGLE_SOURCE,irbank_pl_comprehensive,0.62,0.62,,,,irbank_pl_comprehensive=0.62,https://irbank.net/E31009/results,,2026-08-31T01:24:49.228521+09:00
FY2011-03,6027,equity_ratio,,pct,0.1,SINGLE_SOURCE,irbank_bs,-23.2,-23.2,,,,irbank_bs=-23.2,https://irbank.net/E31009/results,,2026-08-31T01:24:49.228521+09:00
FY2011-03,6027,net_assets,,JPY_million,1,SINGLE_SOURCE,irbank_bs,-7,-0.07億,,,,irbank_bs=-7,https://irbank.net/E31009/results,,2026-08-31T01:24:49.228521+09:00
FY2011-03,6027,net_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_comprehensive,11,0.11億,,,,irbank_pl_comprehensive=11,https://irbank.net/E31009/results,,2026-08-31T01:24:49.228521+09:00
FY2011-03,6027,ordinary_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_comprehensive,11,0.11億,,,,irbank_pl_comprehensive=11,https://irbank.net/E31009/results,,2026-08-31T01:24:49.228521+09:00
FY2011-03,6027,revenue,116,JPY_million,1,OK|ROUNDING|NONCONSOLIDATED|PERIOD_ASTERISK,kabutan_fy10,116,116,irbank_pl_comprehensive,117,1.17億,kabutan_fy10=116|irbank_pl_comprehensive=117,https://kabutan.jp/stock/finance?code=6027,https://irbank.net/E31009/results,2026-08-31T01:24:49.228521+09:00
FY2011-03,6027,roa,,pct,0.01,SINGLE_SOURCE,irbank_pl_comprehensive,37.09,37.09,,,,irbank_pl_comprehensive=37.09,https://irbank.net/E31009/results,,2026-08-31T01:24:49.228521+09:00
FY2011-03,6027,total_assets,,JPY_million,1,SINGLE_SOURCE,irbank_bs,29,0.29億,,,,irbank_bs=29,https://irbank.net/E31009/results,,2026-08-31T01:24:49.228521+09:00
FY2012-03,6027,cash_equivalents,,JPY_million,1,SINGLE_SOURCE,irbank_cf,13,0.13億,,,,irbank_cf=13,https://irbank.net/E31009/results,,2026-08-31T01:24:49.228521+09:00
FY2012-03,6027,eps,,JPY,0.01,SINGLE_SOURCE,irbank_pl_comprehensive,0.43,0.43,,,,irbank_pl_comprehensive=0.43,https://irbank.net/E31009/results,,2026-08-31T01:24:49.228521+09:00
