period,code,metric,value,unit,tolerance,status,source_primary,value_primary,raw_primary,source_secondary,value_secondary,raw_secondary,sources_all,source_url_primary,source_url_secondary,fetched_at
FY1998-03,6904,eps,,JPY,0.1,SINGLE_SOURCE,kabutan_record_fy,89.7,89.7,,,,kabutan_record_fy=89.7,https://kabutan.jp/stock/finance?code=6904,,2026-08-31T01:24:49.228521+09:00
FY1998-03,6904,net_income,,JPY_million,1,SINGLE_SOURCE,kabutan_record_fy,1770,"1,770",,,,kabutan_record_fy=1770,https://kabutan.jp/stock/finance?code=6904,,2026-08-31T01:24:49.228521+09:00
FY2002-03,6904,revenue,,JPY_million,1,SINGLE_SOURCE,kabutan_fy10,21616,"21,616",,,,kabutan_fy10=21616,https://kabutan.jp/stock/finance?code=6904,,2026-08-31T01:24:49.228521+09:00
FY2003-03,6904,ordinary_income,,JPY_million,1,SINGLE_SOURCE,kabutan_record_fy,2360,"2,360",,,,kabutan_record_fy=2360,https://kabutan.jp/stock/finance?code=6904,,2026-08-31T01:24:49.228521+09:00
FY2003-03,6904,revenue,,JPY_million,1,SINGLE_SOURCE,kabutan_fy10,23120,"23,120",,,,kabutan_fy10=23120,https://kabutan.jp/stock/finance?code=6904,,2026-08-31T01:24:49.228521+09:00
FY2004-03,6904,revenue,,JPY_million,1,SINGLE_SOURCE,kabutan_fy10,21768,"21,768",,,,kabutan_fy10=21768,https://kabutan.jp/stock/finance?code=6904,,2026-08-31T01:24:49.228521+09:00
FY2005-03,6904,revenue,,JPY_million,1,SINGLE_SOURCE,kabutan_fy10,20771,"20,771",,,,kabutan_fy10=20771,https://kabutan.jp/stock/finance?code=6904,,2026-08-31T01:24:49.228521+09:00
FY2006-03,6904,revenue,,JPY_million,1,SINGLE_SOURCE,kabutan_fy10,22470,"22,470",,,,kabutan_fy10=22470,https://kabutan.jp/stock/finance?code=6904,,2026-08-31T01:24:49.228521+09:00
FY2007-03,6904,revenue,,JPY_million,1,SINGLE_SOURCE,kabutan_fy10,23181,"23,181",,,,kabutan_fy10=23181,https://kabutan.jp/stock/finance?code=6904,,2026-08-31T01:24:49.228521+09:00
FY2008-03,6904,capex,,JPY_million,1,SINGLE_SOURCE,irbank_cf,-693,-6.93億,,,,irbank_cf=-693,https://irbank.net/E01857/results,,2026-08-31T01:24:49.228521+09:00
FY2008-03,6904,cash_equivalents,,JPY_million,10,SINGLE_SOURCE,irbank_cf,2430,24.3億,,,,irbank_cf=2430,https://irbank.net/E01857/results,,2026-08-31T01:24:49.228521+09:00
FY2008-03,6904,cost_ratio,,pct,0.01,SINGLE_SOURCE,irbank_pl_consolidated,72.47,72.47,,,,irbank_pl_consolidated=72.47,https://irbank.net/E01857/results,,2026-08-31T01:24:49.228521+09:00
FY2008-03,6904,equity_ratio,,pct,0.01,SINGLE_SOURCE,irbank_bs,45.24,45.24,,,,irbank_bs=45.24,https://irbank.net/E01857/results,,2026-08-31T01:24:49.228521+09:00
FY2008-03,6904,financing_cf,,JPY_million,1,SINGLE_SOURCE,irbank_cf,-588,-5.88億,,,,irbank_cf=-588,https://irbank.net/E01857/results,,2026-08-31T01:24:49.228521+09:00
FY2008-03,6904,free_cf,,JPY_million,1,SINGLE_SOURCE,irbank_cf,-209,-2.09億,,,,irbank_cf=-209,https://irbank.net/E01857/results,,2026-08-31T01:24:49.228521+09:00
FY2008-03,6904,interest_bearing_debt,,JPY_million,10,SINGLE_SOURCE,irbank_bs,6510,65.1億,,,,irbank_bs=6510,https://irbank.net/E01857/results,,2026-08-31T01:24:49.228521+09:00
FY2008-03,6904,interest_bearing_debt_ratio,,x,0.0001,SINGLE_SOURCE|UNIT_CONVERTED,irbank_bs,0.6594,65.94,,,,irbank_bs=0.6594,https://irbank.net/E01857/results,,2026-08-31T01:24:49.228521+09:00
FY2008-03,6904,investing_cf,,JPY_million,1,SINGLE_SOURCE,irbank_cf,-515,-5.15億,,,,irbank_cf=-515,https://irbank.net/E01857/results,,2026-08-31T01:24:49.228521+09:00
FY2008-03,6904,net_assets,,JPY_million,10,SINGLE_SOURCE,irbank_bs,9870,98.7億,,,,irbank_bs=9870,https://irbank.net/E01857/results,,2026-08-31T01:24:49.228521+09:00
FY2008-03,6904,net_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_consolidated,561,5.61億,,,,irbank_pl_consolidated=561,https://irbank.net/E01857/results,,2026-08-31T01:24:49.228521+09:00
FY2008-03,6904,operating_cf,,JPY_million,1,SINGLE_SOURCE,irbank_cf,306,3.06億,,,,irbank_cf=306,https://irbank.net/E01857/results,,2026-08-31T01:24:49.228521+09:00
FY2008-03,6904,operating_income,,JPY_million,100,SINGLE_SOURCE,irbank_pl_consolidated,1100,11億,,,,irbank_pl_consolidated=1100,https://irbank.net/E01857/results,,2026-08-31T01:24:49.228521+09:00
FY2008-03,6904,operating_margin,,pct,0.01,SINGLE_SOURCE,irbank_pl_consolidated,3.98,3.98,,,,irbank_pl_consolidated=3.98,https://irbank.net/E01857/results,,2026-08-31T01:24:49.228521+09:00
FY2008-03,6904,ordinary_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_consolidated,703,7.03億,,,,irbank_pl_consolidated=703,https://irbank.net/E01857/results,,2026-08-31T01:24:49.228521+09:00
FY2008-03,6904,retained_earnings,,JPY_million,10,SINGLE_SOURCE,irbank_bs,6090,60.9億,,,,irbank_bs=6090,https://irbank.net/E01857/results,,2026-08-31T01:24:49.228521+09:00
