period,code,metric,value,unit,tolerance,status,source_primary,value_primary,raw_primary,source_secondary,value_secondary,raw_secondary,sources_all,source_url_primary,source_url_secondary,fetched_at
FY2002-03,1959,revenue,,JPY_million,1,SINGLE_SOURCE,kabutan_fy10,237375,"237,375",,,,kabutan_fy10=237375,https://kabutan.jp/stock/finance?code=1959,,2026-08-29T10:38:54.893065+09:00
FY2003-03,1959,revenue,,JPY_million,1,SINGLE_SOURCE,kabutan_fy10,222556,"222,556",,,,kabutan_fy10=222556,https://kabutan.jp/stock/finance?code=1959,,2026-08-29T10:38:54.893065+09:00
FY2004-03,1959,revenue,,JPY_million,1,SINGLE_SOURCE,kabutan_fy10,224703,"224,703",,,,kabutan_fy10=224703,https://kabutan.jp/stock/finance?code=1959,,2026-08-29T10:38:54.893065+09:00
FY2005-03,1959,revenue,,JPY_million,1,SINGLE_SOURCE,kabutan_fy10,231478,"231,478",,,,kabutan_fy10=231478,https://kabutan.jp/stock/finance?code=1959,,2026-08-29T10:38:54.893065+09:00
FY2006-03,1959,revenue,,JPY_million,1,SINGLE_SOURCE,kabutan_fy10,233560,"233,560",,,,kabutan_fy10=233560,https://kabutan.jp/stock/finance?code=1959,,2026-08-29T10:38:54.893065+09:00
FY2007-03,1959,revenue,,JPY_million,1,SINGLE_SOURCE,kabutan_fy10,251751,"251,751",,,,kabutan_fy10=251751,https://kabutan.jp/stock/finance?code=1959,,2026-08-29T10:38:54.893065+09:00
FY2008-03,1959,revenue,236206,JPY_million,100,OK|ROUNDING,kabutan_fy10,236206,"236,206",irbank_pl_consolidated,236200,2362億,kabutan_fy10=236206|irbank_pl_consolidated=236200,https://kabutan.jp/stock/finance?code=1959,https://irbank.net/E00146/results,2026-08-29T10:42:55.986064+09:00
FY2009-03,1959,revenue,245388,JPY_million,100,OK|ROUNDING,kabutan_fy10,245388,"245,388",irbank_pl_consolidated,245400,2454億,kabutan_fy10=245388|irbank_pl_consolidated=245400,https://kabutan.jp/stock/finance?code=1959,https://irbank.net/E00146/results,2026-08-29T10:42:55.986064+09:00
FY2010-03,1959,revenue,225891,JPY_million,100,OK|ROUNDING,kabutan_fy10,225891,"225,891",irbank_pl_consolidated,225900,2259億,kabutan_fy10=225891|irbank_pl_consolidated=225900,https://kabutan.jp/stock/finance?code=1959,https://irbank.net/E00146/results,2026-08-29T10:42:55.986064+09:00
FY2011-03,1959,revenue,248577,JPY_million,100,OK|ROUNDING,kabutan_fy10,248577,"248,577",irbank_pl_consolidated,248600,2486億,kabutan_fy10=248577|irbank_pl_consolidated=248600,https://kabutan.jp/stock/finance?code=1959,https://irbank.net/E00146/results,2026-08-29T10:42:55.986064+09:00
FY2012-03,1959,revenue,246660,JPY_million,100,OK|ROUNDING,kabutan_fy10,246660,"246,660",irbank_pl_consolidated,246700,2467億,kabutan_fy10=246660|irbank_pl_consolidated=246700,https://kabutan.jp/stock/finance?code=1959,https://irbank.net/E00146/results,2026-08-29T10:42:55.986064+09:00
FY2013-03,1959,revenue,239282,JPY_million,100,OK|ROUNDING,kabutan_fy10,239282,"239,282",irbank_pl_consolidated,239300,2393億,kabutan_fy10=239282|irbank_pl_consolidated=239300,https://kabutan.jp/stock/finance?code=1959,https://irbank.net/E00146/results,2026-08-29T10:42:55.986064+09:00
FY2014-03,1959,revenue,279310,JPY_million,100,OK|ROUNDING,kabutan_fy10,279310,"279,310",irbank_pl_consolidated,279300,2793億,kabutan_fy10=279310|irbank_pl_consolidated=279300,https://kabutan.jp/stock/finance?code=1959,https://irbank.net/E00146/results,2026-08-29T10:42:55.986064+09:00
