period,code,metric,value,unit,tolerance,status,source_primary,value_primary,raw_primary,source_secondary,value_secondary,raw_secondary,sources_all,source_url_primary,source_url_secondary,fetched_at
FY2014-12,7093,eps,,JPY,0.01,SINGLE_SOURCE,irbank_pl_consolidated,6.46,6.46,,,,irbank_pl_consolidated=6.46,https://irbank.net/E35514/results,,2026-08-31T01:24:49.228521+09:00
FY2014-12,7093,equity_ratio,,pct,0.1,SINGLE_SOURCE,irbank_bs,19.6,19.6,,,,irbank_bs=19.6,https://irbank.net/E35514/results,,2026-08-31T01:24:49.228521+09:00
FY2014-12,7093,net_assets,,JPY_million,1,SINGLE_SOURCE,irbank_bs,59,59百万,,,,irbank_bs=59,https://irbank.net/E35514/results,,2026-08-31T01:24:49.228521+09:00
FY2014-12,7093,net_income,,JPY_million,0.1,SINGLE_SOURCE,irbank_pl_consolidated,6.5,6.5百万,,,,irbank_pl_consolidated=6.5,https://irbank.net/E35514/results,,2026-08-31T01:24:49.228521+09:00
FY2014-12,7093,ordinary_income,,JPY_million,0.1,SINGLE_SOURCE,irbank_pl_consolidated,8.8,8.8百万,,,,irbank_pl_consolidated=8.8,https://irbank.net/E35514/results,,2026-08-31T01:24:49.228521+09:00
FY2014-12,7093,revenue,340,JPY_million,10,OK|NONCONSOLIDATED|PERIOD_ASTERISK,kabutan_fy10,340,340,irbank_pl_consolidated,340,3.4億,kabutan_fy10=340|irbank_pl_consolidated=340,https://kabutan.jp/stock/finance?code=7093,https://irbank.net/E35514/results,2026-08-31T01:24:49.228521+09:00
FY2014-12,7093,roa,,pct,0.01,SINGLE_SOURCE,irbank_pl_consolidated,2.17,2.17,,,,irbank_pl_consolidated=2.17,https://irbank.net/E35514/results,,2026-08-31T01:24:49.228521+09:00
FY2014-12,7093,total_assets,,JPY_million,1,SINGLE_SOURCE,irbank_bs,298,2.98億,,,,irbank_bs=298,https://irbank.net/E35514/results,,2026-08-31T01:24:49.228521+09:00
FY2015-12,7093,eps,,JPY,0.01,SINGLE_SOURCE,irbank_pl_consolidated,-19.26,-19.26,,,,irbank_pl_consolidated=-19.26,https://irbank.net/E35514/results,,2026-08-31T01:24:49.228521+09:00
FY2015-12,7093,equity_ratio,,pct,0.1,SINGLE_SOURCE,irbank_bs,13.7,13.7,,,,irbank_bs=13.7,https://irbank.net/E35514/results,,2026-08-31T01:24:49.228521+09:00
