period,code,metric,value,unit,tolerance,status,source_primary,value_primary,raw_primary,source_secondary,value_secondary,raw_secondary,sources_all,source_url_primary,source_url_secondary,fetched_at
C2023-11_2024-07,4707,eps,,JPY,0.1,SINGLE_SOURCE,kabutan_ytd3q,34.3,34.3,,,,kabutan_ytd3q=34.3,https://kabutan.jp/stock/finance?code=4707,,2026-08-31T01:24:49.228521+09:00
C2023-11_2024-07,4707,net_income,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,192,192,,,,kabutan_ytd3q=192,https://kabutan.jp/stock/finance?code=4707,,2026-08-31T01:24:49.228521+09:00
C2023-11_2024-07,4707,operating_income,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,248,248,,,,kabutan_ytd3q=248,https://kabutan.jp/stock/finance?code=4707,,2026-08-31T01:24:49.228521+09:00
C2023-11_2024-07,4707,ordinary_income,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,282,282,,,,kabutan_ytd3q=282,https://kabutan.jp/stock/finance?code=4707,,2026-08-31T01:24:49.228521+09:00
C2023-11_2024-07,4707,revenue,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,2327,"2,327",,,,kabutan_ytd3q=2327,https://kabutan.jp/stock/finance?code=4707,,2026-08-31T01:24:49.228521+09:00
C2024-11_2025-07,4707,eps,,JPY,0.1,SINGLE_SOURCE,kabutan_ytd3q,38.2,38.2,,,,kabutan_ytd3q=38.2,https://kabutan.jp/stock/finance?code=4707,,2026-08-31T01:24:49.228521+09:00
C2024-11_2025-07,4707,net_income,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,213,213,,,,kabutan_ytd3q=213,https://kabutan.jp/stock/finance?code=4707,,2026-08-31T01:24:49.228521+09:00
C2024-11_2025-07,4707,operating_income,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,166,166,,,,kabutan_ytd3q=166,https://kabutan.jp/stock/finance?code=4707,,2026-08-31T01:24:49.228521+09:00
C2024-11_2025-07,4707,ordinary_income,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,188,188,,,,kabutan_ytd3q=188,https://kabutan.jp/stock/finance?code=4707,,2026-08-31T01:24:49.228521+09:00
C2024-11_2025-07,4707,revenue,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,2549,"2,549",,,,kabutan_ytd3q=2549,https://kabutan.jp/stock/finance?code=4707,,2026-08-31T01:24:49.228521+09:00
C2025-11_2026-07,4707,eps,,JPY,0.1,SINGLE_SOURCE,kabutan_ytd3q,25.3,25.3,,,,kabutan_ytd3q=25.3,https://kabutan.jp/stock/finance?code=4707,,2026-08-31T01:24:49.228521+09:00
C2025-11_2026-07,4707,equity,,JPY_million,1,SINGLE_SOURCE,kabutan_bs,3691,"3,691",,,,kabutan_bs=3691,https://kabutan.jp/stock/finance?code=4707,,2026-08-31T01:24:49.228521+09:00
C2025-11_2026-07,4707,equity_ratio,,pct,0.1,SINGLE_SOURCE,kabutan_bs,60.8,60.8,,,,kabutan_bs=60.8,https://kabutan.jp/stock/finance?code=4707,,2026-08-31T01:24:49.228521+09:00
C2025-11_2026-07,4707,interest_bearing_debt_ratio,,x,0.01,SINGLE_SOURCE,kabutan_bs,0.43,0.43,,,,kabutan_bs=0.43,https://kabutan.jp/stock/finance?code=4707,,2026-08-31T01:24:49.228521+09:00
C2025-11_2026-07,4707,net_income,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,141,141,,,,kabutan_ytd3q=141,https://kabutan.jp/stock/finance?code=4707,,2026-08-31T01:24:49.228521+09:00
C2025-11_2026-07,4707,operating_income,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,158,158,,,,kabutan_ytd3q=158,https://kabutan.jp/stock/finance?code=4707,,2026-08-31T01:24:49.228521+09:00
C2025-11_2026-07,4707,ordinary_income,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,174,174,,,,kabutan_ytd3q=174,https://kabutan.jp/stock/finance?code=4707,,2026-08-31T01:24:49.228521+09:00
C2025-11_2026-07,4707,retained_earnings,,JPY_million,1,SINGLE_SOURCE,kabutan_bs,2853,"2,853",,,,kabutan_bs=2853,https://kabutan.jp/stock/finance?code=4707,,2026-08-31T01:24:49.228521+09:00
C2025-11_2026-07,4707,revenue,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,2424,"2,424",,,,kabutan_ytd3q=2424,https://kabutan.jp/stock/finance?code=4707,,2026-08-31T01:24:49.228521+09:00
C2025-11_2026-07,4707,total_assets,,JPY_million,1,SINGLE_SOURCE,kabutan_bs,6074,"6,074",,,,kabutan_bs=6074,https://kabutan.jp/stock/finance?code=4707,,2026-08-31T01:24:49.228521+09:00
FY1994-10,4707,eps,,JPY,0.1,SINGLE_SOURCE,kabutan_record_fy,1890,"1,890.0",,,,kabutan_record_fy=1890,https://kabutan.jp/stock/finance?code=4707,,2026-08-31T01:24:49.228521+09:00
FY1994-10,4707,operating_income,,JPY_million,1,SINGLE_SOURCE,kabutan_record_fy,599,599,,,,kabutan_record_fy=599,https://kabutan.jp/stock/finance?code=4707,,2026-08-31T01:24:49.228521+09:00
FY1994-10,4707,ordinary_income,,JPY_million,1,SINGLE_SOURCE,kabutan_record_fy,545,545,,,,kabutan_record_fy=545,https://kabutan.jp/stock/finance?code=4707,,2026-08-31T01:24:49.228521+09:00
FY1996-10,4707,net_income,,JPY_million,1,SINGLE_SOURCE,kabutan_record_fy,322,322,,,,kabutan_record_fy=322,https://kabutan.jp/stock/finance?code=4707,,2026-08-31T01:24:49.228521+09:00
FY1997-10,4707,revenue,,JPY_million,1,SINGLE_SOURCE,kabutan_record_fy,4293,"4,293",,,,kabutan_record_fy=4293,https://kabutan.jp/stock/finance?code=4707,,2026-08-31T01:24:49.228521+09:00
FY2001-10,4707,revenue,,JPY_million,1,SINGLE_SOURCE,kabutan_fy10,3473,"3,473",,,,kabutan_fy10=3473,https://kabutan.jp/stock/finance?code=4707,,2026-08-31T01:24:49.228521+09:00
FY2002-10,4707,revenue,,JPY_million,1,SINGLE_SOURCE,kabutan_fy10,2766,"2,766",,,,kabutan_fy10=2766,https://kabutan.jp/stock/finance?code=4707,,2026-08-31T01:24:49.228521+09:00
FY2003-10,4707,revenue,,JPY_million,1,SINGLE_SOURCE,kabutan_fy10,2562,"2,562",,,,kabutan_fy10=2562,https://kabutan.jp/stock/finance?code=4707,,2026-08-31T01:24:49.228521+09:00
FY2004-10,4707,revenue,,JPY_million,1,SINGLE_SOURCE,kabutan_fy10,2554,"2,554",,,,kabutan_fy10=2554,https://kabutan.jp/stock/finance?code=4707,,2026-08-31T01:24:49.228521+09:00
FY2005-10,4707,revenue,,JPY_million,1,SINGLE_SOURCE,kabutan_fy10,2353,"2,353",,,,kabutan_fy10=2353,https://kabutan.jp/stock/finance?code=4707,,2026-08-31T01:24:49.228521+09:00
FY2006-10,4707,revenue,,JPY_million,1,SINGLE_SOURCE,kabutan_fy10,2662,"2,662",,,,kabutan_fy10=2662,https://kabutan.jp/stock/finance?code=4707,,2026-08-31T01:24:49.228521+09:00
FY2007-10,4707,revenue,,JPY_million,1,SINGLE_SOURCE|NONCONSOLIDATED,kabutan_fy10,2430,"2,430",,,,kabutan_fy10=2430,https://kabutan.jp/stock/finance?code=4707,,2026-08-31T01:24:49.228521+09:00
FY2008-10,4707,capex,,JPY_million,1,SINGLE_SOURCE,irbank_cf,-315,-315百万,,,,irbank_cf=-315,https://irbank.net/E05015/results,,2026-08-31T01:24:49.228521+09:00
FY2008-10,4707,cash_equivalents,,JPY_million,1,SINGLE_SOURCE,irbank_cf,142,142百万,,,,irbank_cf=142,https://irbank.net/E05015/results,,2026-08-31T01:24:49.228521+09:00
FY2008-10,4707,cost_ratio,,pct,0.01,SINGLE_SOURCE,irbank_pl_comprehensive,70.82,70.82,,,,irbank_pl_comprehensive=70.82,https://irbank.net/E05015/results,,2026-08-31T01:24:49.228521+09:00
FY2008-10,4707,equity_ratio,,pct,0.01,SINGLE_SOURCE,irbank_bs,34.21,34.21,,,,irbank_bs=34.21,https://irbank.net/E05015/results,,2026-08-31T01:24:49.228521+09:00
FY2008-10,4707,financing_cf,,JPY_million,1,SINGLE_SOURCE,irbank_cf,-184,-184百万,,,,irbank_cf=-184,https://irbank.net/E05015/results,,2026-08-31T01:24:49.228521+09:00
FY2008-10,4707,free_cf,,JPY_million,1,SINGLE_SOURCE,irbank_cf,-55,-55百万,,,,irbank_cf=-55,https://irbank.net/E05015/results,,2026-08-31T01:24:49.228521+09:00
FY2008-10,4707,interest_bearing_debt,,JPY_million,10,SINGLE_SOURCE,irbank_bs,3120,31.2億,,,,irbank_bs=3120,https://irbank.net/E05015/results,,2026-08-31T01:24:49.228521+09:00
FY2008-10,4707,interest_bearing_debt_ratio,,x,0.001,SINGLE_SOURCE|UNIT_CONVERTED,irbank_bs,1.652,165.2,,,,irbank_bs=1.652,https://irbank.net/E05015/results,,2026-08-31T01:24:49.228521+09:00
FY2008-10,4707,investing_cf,,JPY_million,1,SINGLE_SOURCE,irbank_cf,-315,-315百万,,,,irbank_cf=-315,https://irbank.net/E05015/results,,2026-08-31T01:24:49.228521+09:00
FY2008-10,4707,net_assets,,JPY_million,10,SINGLE_SOURCE,irbank_bs,1890,18.9億,,,,irbank_bs=1890,https://irbank.net/E05015/results,,2026-08-31T01:24:49.228521+09:00
FY2008-10,4707,net_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_comprehensive,-142,-142百万,,,,irbank_pl_comprehensive=-142,https://irbank.net/E05015/results,,2026-08-31T01:24:49.228521+09:00
FY2008-10,4707,operating_cf,,JPY_million,1,SINGLE_SOURCE,irbank_cf,261,261百万,,,,irbank_cf=261,https://irbank.net/E05015/results,,2026-08-31T01:24:49.228521+09:00
FY2008-10,4707,operating_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_comprehensive,52,52百万,,,,irbank_pl_comprehensive=52,https://irbank.net/E05015/results,,2026-08-31T01:24:49.228521+09:00
FY2008-10,4707,operating_margin,,pct,0.01,SINGLE_SOURCE,irbank_pl_comprehensive,2.53,2.53,,,,irbank_pl_comprehensive=2.53,https://irbank.net/E05015/results,,2026-08-31T01:24:49.228521+09:00
FY2008-10,4707,ordinary_income,,JPY_million,1,SINGLE_SOURCE,irbank_pl_comprehensive,-30,-30百万,,,,irbank_pl_comprehensive=-30,https://irbank.net/E05015/results,,2026-08-31T01:24:49.228521+09:00
FY2008-10,4707,retained_earnings,,JPY_million,10,SINGLE_SOURCE,irbank_bs,1220,12.2億,,,,irbank_bs=1220,https://irbank.net/E05015/results,,2026-08-31T01:24:49.228521+09:00
FY2008-10,4707,revenue,2076,JPY_million,10,OK|ROUNDING|NONCONSOLIDATED,kabutan_fy10,2076,"2,076",irbank_pl_comprehensive,2080,20.8億,kabutan_fy10=2076|irbank_pl_comprehensive=2080,https://kabutan.jp/stock/finance?code=4707,https://irbank.net/E05015/results,2026-08-31T01:24:49.228521+09:00
FY2008-10,4707,sga_ratio,,pct,0.01,SINGLE_SOURCE,irbank_pl_comprehensive,26.65,26.65,,,,irbank_pl_comprehensive=26.65,https://irbank.net/E05015/results,,2026-08-31T01:24:49.228521+09:00
