period,code,metric,value,unit,tolerance,status,source_primary,value_primary,raw_primary,source_secondary,value_secondary,raw_secondary,sources_all,source_url_primary,source_url_secondary,fetched_at
C2023-07_2024-03,4073,eps,,JPY,0.1,SINGLE_SOURCE,kabutan_ytd3q,35.8,35.8,,,,kabutan_ytd3q=35.8,https://kabutan.jp/stock/finance?code=4073,,2026-08-13T11:40:46.611262+09:00
C2023-07_2024-03,4073,net_income,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,89,89,,,,kabutan_ytd3q=89,https://kabutan.jp/stock/finance?code=4073,,2026-08-13T11:40:46.611262+09:00
C2023-07_2024-03,4073,operating_income,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,91,91,,,,kabutan_ytd3q=91,https://kabutan.jp/stock/finance?code=4073,,2026-08-13T11:40:46.611262+09:00
C2023-07_2024-03,4073,ordinary_income,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,89,89,,,,kabutan_ytd3q=89,https://kabutan.jp/stock/finance?code=4073,,2026-08-13T11:40:46.611262+09:00
C2023-07_2024-03,4073,revenue,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,1345,"1,345",,,,kabutan_ytd3q=1345,https://kabutan.jp/stock/finance?code=4073,,2026-08-13T11:40:46.611262+09:00
C2024-07_2025-03,4073,eps,,JPY,0.1,SINGLE_SOURCE,kabutan_ytd3q,-66.7,-66.7,,,,kabutan_ytd3q=-66.7,https://kabutan.jp/stock/finance?code=4073,,2026-08-13T11:40:46.611262+09:00
C2024-07_2025-03,4073,net_income,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,-167,-167,,,,kabutan_ytd3q=-167,https://kabutan.jp/stock/finance?code=4073,,2026-08-13T11:40:46.611262+09:00
C2024-07_2025-03,4073,operating_income,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,-141,-141,,,,kabutan_ytd3q=-141,https://kabutan.jp/stock/finance?code=4073,,2026-08-13T11:40:46.611262+09:00
C2024-07_2025-03,4073,ordinary_income,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,-161,-161,,,,kabutan_ytd3q=-161,https://kabutan.jp/stock/finance?code=4073,,2026-08-13T11:40:46.611262+09:00
C2024-07_2025-03,4073,revenue,,JPY_million,1,SINGLE_SOURCE,kabutan_ytd3q,1279,"1,279",,,,kabutan_ytd3q=1279,https://kabutan.jp/stock/finance?code=4073,,2026-08-13T11:40:46.611262+09:00
C2025-07_2026-03,4073,eps,,JPY,0.1,SINGLE_SOURCE,kabutan_ytd3q,-39,-39.0,,,,kabutan_ytd3q=-39,https://kabutan.jp/stock/finance?code=4073,,2026-08-13T11:40:46.611262+09:00
C2025-07_2026-03,4073,equity,,JPY_million,1,SINGLE_SOURCE,kabutan_bs,185,185,,,,kabutan_bs=185,https://kabutan.jp/stock/finance?code=4073,,2026-08-13T11:40:46.611262+09:00
